Dataset,all_R2_all,	all_R2_BL,	all_R2_AD,	all_R2_WO,	PMd_R2_all,	PMd_R2_BL,	PMd_R2_AD,	PMd_R2_WO,	M1_R2_all,	M1_R2_BL,	M1_R2_AD,	M1_R2_WO,	
Chewie_CO_FF_2016-09-15,	93.1,	94.5,	90.6,	93.9,	91.1,	92.7,	88.4,	91.7,	91.1,	92.9,	87.9,	91.9,	
Chewie_CO_FF_2016-09-21,	92.6,	94.0,	88.5,	93.8,	90.2,	92.0,	85.3,	91.5,	90.2,	91.6,	86.0,	91.5,	
Chewie_CO_FF_2016-10-05,	94.7,	95.9,	92.8,	95.2,	91.0,	92.9,	87.4,	92.7,	93.7,	95.6,	90.6,	94.8,	
Chewie_CO_FF_2016-10-07,	94.0,	94.6,	91.6,	95.2,	89.7,	91.5,	84.7,	92.0,	93.0,	93.0,	90.4,	94.8,	
Mihili_CO_FF_2014-02-03,	86.3,	85.9,	85.4,	86.5,	73.1,	73.1,	75.2,	69.7,	82.2,	82.6,	80.6,	82.0,	
Mihili_CO_FF_2014-02-17,	91.4,	93.6,	87.5,	91.9,	84.1,	87.7,	81.0,	83.3,	85.4,	86.0,	83.6,	85.8,	
Mihili_CO_FF_2014-02-18,	91.5,	92.1,	89.1,	92.4,	87.2,	89.9,	84.6,	86.9,	86.5,	88.4,	82.4,	87.7,	
Mihili_CO_FF_2014-03-07,	88.6,	89.7,	85.6,	90.0,	82.9,	84.5,	80.9,	82.6,	83.0,	85.2,	80.5,	82.4,	
