Dataset,all_R2_all,	all_R2_BL,	all_R2_AD,	all_R2_WO,	PMd_R2_all,	PMd_R2_BL,	PMd_R2_AD,	PMd_R2_WO,	M1_R2_all,	M1_R2_BL,	M1_R2_AD,	M1_R2_WO,	
Chewie_CO_FF_2016-09-15,	84.4,	84.5,	81.0,	86.2,	79.4,	80.7,	75.4,	80.8,	67.7,	72.6,	50.7,	75.7,	
Chewie_CO_FF_2016-09-21,	80.1,	81.2,	74.0,	82.6,	74.8,	77.7,	67.8,	76.0,	67.4,	68.4,	59.2,	70.7,	
Chewie_CO_FF_2016-10-05,	85.0,	87.3,	82.0,	85.6,	75.3,	75.8,	72.1,	77.8,	77.2,	79.4,	73.2,	78.6,	
Chewie_CO_FF_2016-10-07,	83.6,	81.3,	81.2,	87.2,	73.5,	75.5,	68.7,	74.9,	73.5,	67.7,	73.6,	77.3,	
Mihili_CO_FF_2014-02-03,	59.0,	58.3,	58.4,	57.3,	29.9,	32.7,	18.4,	32.7,	44.2,	49.0,	38.7,	38.7,	
Mihili_CO_FF_2014-02-17,	72.1,	77.4,	66.5,	71.1,	52.8,	59.7,	47.7,	50.7,	56.3,	63.0,	46.3,	57.0,	
Mihili_CO_FF_2014-02-18,	74.5,	73.9,	73.9,	74.4,	58.7,	58.9,	58.6,	57.3,	56.6,	57.4,	53.3,	57.3,	
Mihili_CO_FF_2014-03-07,	68.1,	68.3,	68.3,	65.7,	43.1,	39.5,	37.2,	49.7,	50.3,	50.7,	51.4,	46.0,	
