Dataset,all_R2_all,	all_R2_BL,	all_R2_AD,	all_R2_WO,	PMd_R2_all,	PMd_R2_BL,	PMd_R2_AD,	PMd_R2_WO,	M1_R2_all,	M1_R2_BL,	M1_R2_AD,	M1_R2_WO,	
Chewie_CO_FF_2016-09-15,	82.9,	85.2,	78.1,	84.4,	77.8,	80.7,	74.1,	78.2,	78.0,	81.7,	66.4,	83.1,	
Chewie_CO_FF_2016-09-21,	80.9,	84.5,	74.6,	81.7,	74.9,	77.4,	67.9,	76.8,	77.9,	83.3,	69.6,	78.6,	
Chewie_CO_FF_2016-10-05,	82.5,	84.4,	81.4,	81.6,	71.9,	72.4,	71.0,	72.2,	83.3,	86.2,	80.5,	83.2,	
Chewie_CO_FF_2016-10-07,	83.9,	84.8,	82.6,	83.7,	72.9,	72.7,	68.6,	76.0,	80.8,	83.4,	79.2,	79.1,	
Mihili_CO_FF_2014-02-03,	74.0,	75.6,	71.9,	72.3,	52.0,	51.9,	48.5,	51.9,	70.9,	76.0,	67.2,	67.4,	
Mihili_CO_FF_2014-02-17,	81.7,	84.2,	76.4,	82.8,	70.0,	70.4,	66.3,	70.8,	76.5,	80.2,	68.9,	77.9,	
Mihili_CO_FF_2014-02-18,	83.9,	83.5,	80.9,	85.8,	75.0,	73.7,	75.5,	75.3,	78.1,	80.9,	71.3,	80.1,	
Mihili_CO_FF_2014-03-07,	78.6,	78.8,	76.0,	79.7,	66.1,	65.4,	64.5,	67.0,	71.2,	71.6,	68.1,	72.5,	
