Dataset,all_R2_all,	all_R2_BL,	all_R2_AD,	all_R2_WO,	PMd_R2_all,	PMd_R2_BL,	PMd_R2_AD,	PMd_R2_WO,	M1_R2_all,	M1_R2_BL,	M1_R2_AD,	M1_R2_WO,	
Chewie_CO_FF_2016-09-15,	93.24648380279541,	94.60899829864502,	90.81799983978271,	93.94855499267578,	91.13389253616333,	92.84902811050415,	88.29229474067688,	91.63767099380493,	91.07379913330078,	93.1039810180664,	87.76654601097107,	91.77852869033813,	
Chewie_CO_FF_2016-09-21,	92.6375150680542,	93.89938712120056,	88.6551558971405,	93.87826323509216,	90.17406105995178,	91.70467853546143,	84.95312333106995,	91.9252872467041,	90.24699926376343,	91.36512279510498,	86.32943630218506,	91.50179624557495,	
Chewie_CO_FF_2016-10-05,	94.88301277160645,	96.2479293346405,	92.8798496723175,	95.47713994979858,	91.16207957267761,	92.96091794967651,	87.74622082710266,	92.74184703826904,	93.64214539527893,	95.29805183410645,	90.99665880203247,	94.58768963813782,	
Chewie_CO_FF_2016-10-07,	94.17276382446289,	94.63812112808228,	92.04831123352051,	95.2824354171753,	90.00469446182251,	92.00595617294312,	84.63685512542725,	92.31127500534058,	93.18329691886902,	93.03584098815918,	90.82692265510559,	94.92545127868652,	
Mihili_CO_FF_2014-02-03,	85.61093807220459,	85.93387603759766,	85.13519167900085,	84.79214906692505,	73.60978126525879,	73.916494846344,	75.24828314781189,	70.18534541130066,	82.05195665359497,	82.09083080291748,	80.9615969657898,	81.69673085212708,	
Mihili_CO_FF_2014-02-17,	91.81846380233765,	93.54195594787598,	88.68035078048706,	92.21526384353638,	84.43109393119812,	87.82774209976196,	81.38196468353271,	83.80372524261475,	85.57471036911011,	86.42765283584595,	83.31260681152344,	86.00320816040039,	
Mihili_CO_FF_2014-02-18,	91.78764224052429,	92.21675992012024,	89.41491842269897,	92.8324043750763,	87.51751184463501,	90.2837872505188,	84.69417691230774,	87.26683855056763,	86.83283925056458,	88.32862377166748,	82.13430643081665,	88.43680620193481,	
Mihili_CO_FF_2014-03-07,	87.80746459960938,	89.01616334915161,	85.34064292907715,	88.66761922836304,	82.45484828948975,	84.15940403938293,	80.18540143966675,	82.34732151031494,	83.72631072998047,	85.58657169342041,	81.10621571540833,	83.7934136390686,	
